2000-04-15,Second product ,2,1
2001-04-15,Second product ,2,1
2002-04-15,Second product ,2,1
2003-08-15,Second product ,2,1
2004-08-15,Second product ,2,1
2018-08-15,Second product ,2,1
2019-04-15,Second product ,2,1
2019-04-18,Second product ,2,1
2019-04-17,Second product ,2,1
2019-04-11,Second product ,2,1
2019-04-06,Second product ,2,1
2019-04-10,Second product ,2,1
2019-04-18,Second product ,2,1
2019-05-18,Second product ,2,1
2018-08-15,This is a really long name that wont really fit into the field,7,1
2019-04-15,This is a really long name that wont really fit into the field,7,1
2019-04-15,This is a really long name that wont really fit into the field,7,1
2019-04-16,This is a test ,6,1
